Location,Square_Feet,Lot_Size,Bedrooms,Bathrooms,Year_Built,Condition,Has_Basement,Price
Coastal,1844,13770,4,1,1910,Excellent,Yes,160527.51
Rural,1740,26485,2,1,1941,Poor,Yes,576883.82
Suburban,1693,12481,2,4,1969,Poor,No,898085.92
Rural,837,46121,4,1,1980,Excellent,No,260584.53
Urban,3560,14468,5,1,1982,Poor,Yes,292411.09
Suburban,4702,47063,3,3,1923,Excellent,No,974616.68
Suburban,3865,45264,3,2,2011,Good,No,793073.2
Rural,2991,3331,6,1,1933,Excellent,Yes,448245.01
Rural,4522,43743,6,3,1913,Excellent,No,484618.78
Coastal,1256,11385,4,1,1935,Good,Yes,882691.51
Rural,858,39571,2,4,2020,Poor,No,713915.32
Rural,2758,28181,6,1,1925,Good,Yes,858308.07
Rural,3088,45793,2,1,2019,Poor,No,357254.52
Urban,2743,41963,2,2,1952,Good,Yes,905669.68
Suburban,3218,10489,4,1,1953,Poor,Yes,706648.45
Urban,1894,8807,3,4,1994,Poor,Yes,351084.78
Coastal,3555,19331,2,4,1985,Poor,Yes,243779.58
Downtown,3063,17460,4,4,2001,Poor,No,645166.89
Downtown,4881,19792,5,3,1966,Excellent,Yes,365046.14
Suburban,2077,41404,2,2,1968,Poor,No,513907.65
Urban,3013,5213,4,3,1953,Excellent,No,951935.91
Urban,1933,33404,4,3,2023,Excellent,Yes,114677.75
Rural,4994,15759,6,3,1953,Poor,Yes,828530.69
Coastal,4745,33075,4,2,1968,Excellent,No,481849.1
Downtown,2187,4514,5,2,1950,Poor,No,602565.32
Suburban,3949,5399,2,3,1975,Excellent,No,221070.06
Suburban,4168,23731,2,3,1965,Good,Yes,329200.56
Urban,811,30605,3,4,2007,Good,No,457208.23
Urban,2430,8845,6,2,1996,Good,No,556337.44
Downtown,3614,12280,6,1,1943,Good,Yes,636100.81
Suburban,4261,10720,3,1,1906,Excellent,No,471571.0
Urban,2396,14024,1,1,1986,Good,No,337681.26
Coastal,4516,23347,6,4,1905,Good,Yes,604190.55
Coastal,3425,3746,6,4,2003,Excellent,No,321888.63
Suburban,4176,44279,4,3,2001,Good,No,767838.61
Urban,4346,6647,3,4,2023,Poor,Yes,570087.42
Suburban,4934,24982,6,4,2016,Poor,Yes,179021.98
Downtown,4229,20457,3,3,1914,Good,No,755220.65
Suburban,2127,15387,2,4,1957,Excellent,Yes,279833.07
Rural,2185,31775,2,2,1915,Poor,Yes,825407.36
Rural,3438,39302,4,1,1964,Excellent,No,706533.63
Suburban,3980,40148,5,2,1921,Poor,Yes,901348.36
Downtown,1219,12768,2,4,1994,Excellent,Yes,154743.47
Urban,3059,46489,6,3,1946,Poor,Yes,297148.15
Downtown,4462,37710,5,2,1935,Excellent,Yes,443081.52
Rural,2356,42141,1,1,1981,Good,Yes,295334.23
Downtown,1564,29980,1,2,1908,Excellent,Yes,483471.46
Coastal,3510,21545,5,3,1908,Poor,Yes,948502.37
Downtown,1291,8710,6,3,1934,Good,No,399955.73
Rural,1671,18188,3,3,1909,Poor,No,456802.77
Rural,1043,36302,2,3,1966,Poor,No,324972.44
Rural,2368,22154,5,3,1992,Poor,Yes,304191.78
Downtown,1601,10653,6,1,1922,Good,No,404361.1
Suburban,1444,38952,1,1,1994,Poor,No,744798.55
Coastal,3644,38752,3,3,1995,Poor,No,675601.91
Coastal,2374,17288,6,4,1909,Good,Yes,894330.48
Downtown,1104,25761,1,1,2018,Excellent,Yes,617442.3
Downtown,3190,43384,3,1,1909,Good,No,746618.58
Coastal,4890,31148,4,1,1904,Good,No,797642.31
Urban,4971,9835,1,2,2013,Excellent,No,492212.02
Coastal,1098,5249,3,3,1925,Good,Yes,978693.37
Coastal,3718,23971,1,2,1940,Excellent,No,142947.64
Rural,2839,48883,6,4,1964,Poor,Yes,212600.01
Coastal,1421,48995,2,2,1963,Excellent,Yes,943145.32
Urban,1550,43221,4,4,1966,Excellent,Yes,606119.95
Coastal,3061,13111,1,4,1926,Excellent,No,446712.33
Rural,4380,46633,3,3,2009,Excellent,No,556603.56
Suburban,4432,28857,4,4,1980,Good,No,158649.59
Rural,3781,7976,4,3,1920,Excellent,Yes,526384.65
Rural,1006,9203,6,2,1956,Good,No,443747.39
Rural,3043,29769,3,2,2005,Poor,Yes,364171.69
Coastal,3933,15535,6,1,1989,Good,No,546551.58
Rural,3634,44804,1,3,2020,Excellent,Yes,851944.26
Suburban,1751,15302,6,1,1905,Excellent,No,964322.5
Downtown,928,22769,2,3,1920,Good,Yes,973286.81
Rural,4348,2077,5,4,1989,Excellent,No,183794.9
Suburban,3100,7878,2,3,2022,Poor,Yes,606600.98
Rural,4749,7208,2,3,1915,Poor,No,141066.7
Coastal,1080,16936,6,3,1990,Good,Yes,417943.47
Urban,2451,25088,2,4,1932,Excellent,No,717847.82
Coastal,2105,46425,6,2,2016,Good,Yes,193672.43
Suburban,3063,22745,5,1,2002,Poor,Yes,111177.25
Urban,3560,33970,6,3,1964,Excellent,No,131405.91
Downtown,885,8017,2,1,1942,Excellent,Yes,781660.85
Coastal,4542,46068,2,2,1949,Good,No,527106.28
Coastal,3610,26363,1,3,1973,Good,No,606132.37
Downtown,4236,48135,5,1,1956,Poor,Yes,776637.75
Urban,3391,8286,3,1,1930,Excellent,No,159981.84
Downtown,923,44194,3,3,1928,Poor,Yes,484584.9
Suburban,1716,36737,6,1,1987,Excellent,Yes,774723.82
Suburban,3258,2996,6,3,1973,Excellent,No,172475.59
Urban,3934,18282,1,1,1978,Poor,Yes,251636.28
Downtown,3530,46847,3,4,2020,Excellent,No,229941.28
Suburban,2339,18250,4,4,1916,Excellent,Yes,902730.24
Urban,1243,46365,1,2,2016,Good,No,843905.05
Urban,3734,19825,3,2,1941,Poor,Yes,197093.57
Downtown,1548,11918,1,2,1917,Excellent,No,270926.61
Rural,4014,12705,5,3,1959,Good,No,728601.52
Suburban,4488,38363,6,2,1906,Excellent,No,928411.43
Suburban,1844,44417,1,1,2020,Good,Yes,662739.38
Urban,1656,13201,5,1,1941,Poor,Yes,874705.18
Coastal,2566,38344,6,2,1922,Excellent,No,863864.96
Suburban,3095,23454,1,2,2002,Good,Yes,857072.63
Downtown,2349,16193,4,3,1907,Excellent,No,197962.16
Coastal,2955,34159,5,2,2010,Good,Yes,580128.74
Suburban,4765,13790,5,1,1990,Good,Yes,699791.76
Suburban,2400,48838,5,4,2020,Poor,Yes,192392.38
Coastal,3512,6285,4,3,1974,Excellent,No,190397.5
Downtown,4670,48845,6,1,1901,Excellent,No,549097.76
Suburban,4846,36432,1,2,1955,Good,No,903776.95
Downtown,4563,9934,1,4,1989,Excellent,No,324962.19
Suburban,1853,12923,6,1,1962,Poor,No,967468.72
Urban,3890,14274,4,1,1998,Poor,Yes,460233.27
Coastal,3306,14193,4,3,1940,Good,No,822211.79
Suburban,3885,43162,4,3,1927,Poor,Yes,455576.4
Rural,4841,39928,5,4,1945,Poor,Yes,119329.6
Downtown,2594,20449,2,1,1950,Poor,No,419944.86
Coastal,816,10518,2,1,1937,Poor,Yes,521172.81
Coastal,2687,18803,6,4,2015,Good,Yes,845065.05
Downtown,1882,5377,1,2,1998,Poor,No,572124.02
Urban,1865,41929,5,2,1930,Good,Yes,156184.27
Rural,1725,12946,3,3,1981,Excellent,Yes,576981.03
Suburban,3533,14542,2,4,1962,Good,No,915714.81
Coastal,4352,33292,1,1,1987,Good,Yes,782510.7
Downtown,3545,14311,1,3,1980,Poor,Yes,149935.92
Coastal,2709,21630,6,1,1985,Good,Yes,746074.23
Urban,1069,43371,3,3,1975,Good,No,943852.11
Coastal,1337,28815,3,1,1979,Good,No,367933.0
Coastal,1394,10003,2,2,1924,Excellent,Yes,411812.66
Rural,3501,42425,2,4,1997,Good,No,647906.95
Suburban,4566,46626,2,3,1996,Poor,No,486120.1
Downtown,1081,21055,6,2,1930,Good,Yes,425109.53
Coastal,4998,28886,3,2,1998,Good,No,857121.46
Rural,913,30928,1,2,1928,Excellent,Yes,764994.53
Urban,4632,2791,2,3,1983,Good,Yes,901504.79
Rural,3992,23625,2,2,1930,Good,No,373529.51
Downtown,1006,29225,6,4,1934,Good,No,479066.5
Coastal,3584,21613,3,3,1905,Good,Yes,778899.31
Downtown,3617,22622,6,3,1921,Good,Yes,130821.29
Rural,3647,47952,2,3,1979,Excellent,Yes,834959.87
Rural,1884,32829,2,3,1985,Good,No,247741.38
Coastal,1169,42476,1,3,1973,Good,Yes,903400.85
Urban,1391,3725,2,3,1987,Excellent,Yes,540657.01
Coastal,4874,45498,3,1,1987,Excellent,No,593466.8
Downtown,1274,11024,3,2,1944,Excellent,Yes,872733.28
Downtown,3301,35097,5,1,1944,Poor,No,626446.21
Coastal,2993,15638,1,3,1914,Excellent,Yes,895657.39
Downtown,1691,21123,2,4,1997,Good,No,973614.88
Coastal,4145,25791,4,3,1909,Excellent,No,862867.17
Coastal,3027,12269,3,2,2005,Excellent,Yes,493391.45
Suburban,1093,40813,1,1,1938,Excellent,No,501493.86
Rural,2385,43670,5,4,1931,Good,Yes,767143.74
Rural,1496,28920,6,1,1946,Good,Yes,896190.72
Suburban,802,49300,1,2,2016,Poor,No,264378.23
Rural,1345,5901,5,2,1974,Excellent,Yes,494770.1
Urban,3137,9663,3,1,2007,Good,Yes,428939.25
Suburban,4112,2818,2,1,1980,Excellent,Yes,335053.51
Rural,3649,43616,6,3,1957,Excellent,No,693681.87
Urban,1664,45930,3,1,1959,Excellent,Yes,801075.88
Coastal,874,21182,1,1,1923,Excellent,Yes,167921.85
Downtown,4693,4052,6,1,1956,Excellent,No,426647.33
Urban,1606,43604,4,2,2010,Excellent,No,894583.29
Downtown,4624,23026,2,2,2018,Excellent,No,715715.06
Suburban,1560,38884,3,4,1918,Good,No,562837.06
Suburban,1092,11144,6,3,1997,Poor,Yes,298099.58
Urban,3108,36880,1,4,1988,Excellent,Yes,269823.41
Coastal,1185,18600,1,2,1985,Good,No,273106.5
Rural,4335,19880,6,3,1959,Excellent,Yes,398865.06
Urban,1091,39177,4,3,1903,Excellent,No,204248.1
Downtown,3153,29835,2,4,1969,Good,Yes,216780.23
Suburban,1403,23865,1,3,1972,Poor,No,278353.23
Urban,966,46391,4,2,1927,Good,No,625404.34
Urban,3601,23807,4,3,2010,Good,No,114044.45
Urban,4470,4992,6,1,1951,Poor,Yes,759476.45
Suburban,4584,16100,5,4,1945,Excellent,Yes,760523.2
Downtown,3328,25150,6,2,1912,Excellent,No,576953.32
Rural,2272,49473,5,1,1910,Good,No,122925.29
Downtown,4659,37589,2,1,2012,Poor,Yes,753681.18
Suburban,2866,13795,2,2,1926,Poor,Yes,928299.21
Coastal,4072,11404,5,3,1953,Poor,Yes,212541.35
Downtown,4729,21308,1,1,1964,Good,Yes,846867.27
Suburban,1940,31692,2,2,1959,Good,Yes,415460.44
Suburban,4558,26074,1,1,1935,Excellent,Yes,673597.35
Suburban,2043,35570,4,2,2010,Good,No,504560.07
Urban,4000,27438,2,1,1959,Excellent,No,270078.24
Urban,1746,45715,3,3,1934,Good,Yes,862559.11
Coastal,1423,22431,1,3,1983,Poor,No,799691.92
Downtown,2421,32804,1,3,1944,Good,No,153368.06
Rural,3619,46110,4,3,1952,Excellent,No,439688.22
Coastal,3576,32122,4,2,1941,Excellent,Yes,236167.61
Suburban,3065,43766,5,1,1905,Excellent,Yes,399010.4
Coastal,3299,10859,5,1,1946,Excellent,No,564967.45
Suburban,2724,43994,1,4,1970,Poor,No,712491.84
Suburban,2551,26761,4,4,1977,Excellent,No,852897.05
Rural,2458,46708,6,1,1919,Excellent,Yes,360206.42
Rural,1952,46751,3,2,1918,Poor,No,185193.46
Coastal,1911,4160,6,2,1929,Good,No,578587.3
Urban,2707,12004,6,3,1944,Poor,No,438110.1
Coastal,895,16116,2,1,1943,Excellent,No,441380.63
Urban,3547,37581,1,1,1984,Good,Yes,757396.02
Rural,1273,20632,2,2,1950,Good,Yes,597527.63
Coastal,2291,36836,6,4,2015,Poor,Yes,711842.75
Downtown,1340,27962,5,1,1981,Poor,No,689106.25
Downtown,2498,49680,6,4,1961,Good,No,630266.2
Downtown,3358,5662,1,1,1954,Poor,No,523090.48
Urban,3427,45726,4,1,2009,Poor,No,590861.03
Rural,3175,46038,5,2,1908,Good,No,547689.04
Coastal,1262,13104,6,3,1917,Good,Yes,487708.7
Rural,3111,4138,1,1,1959,Good,No,602971.44
Coastal,3891,45092,6,2,1986,Excellent,Yes,409718.25
Coastal,3202,8437,4,1,1939,Poor,Yes,176160.66
Suburban,1754,43601,4,2,2009,Good,No,179078.34
Rural,1164,37760,6,1,1902,Good,Yes,779803.48
Downtown,3139,39584,3,3,1985,Good,No,142501.55
Suburban,3637,47161,4,1,2017,Poor,Yes,704848.48
Urban,2677,48366,6,1,1949,Excellent,Yes,446043.81
Urban,3197,48330,1,1,1954,Poor,Yes,835091.27
Urban,979,23453,1,3,2006,Excellent,Yes,160316.78
Coastal,3087,19952,4,1,1961,Good,No,855526.38
Coastal,4997,10089,5,3,1968,Excellent,No,343354.66
Downtown,4532,26966,3,3,1974,Poor,Yes,575539.0
Rural,884,20004,2,2,1906,Poor,No,538446.95
Downtown,2551,19318,2,2,1967,Excellent,No,694401.08
Suburban,1899,2114,5,2,1965,Good,Yes,212348.2
Suburban,3334,25815,1,3,2017,Poor,No,731237.65
Urban,3633,19699,2,1,1973,Poor,Yes,388316.47
Rural,2177,27731,3,1,1992,Excellent,No,809550.73
Rural,1072,25415,3,1,1936,Excellent,Yes,606574.56
Urban,4462,45769,6,1,1945,Excellent,No,573290.67
Suburban,2572,45405,4,3,2005,Poor,Yes,547473.11
Urban,4930,37041,6,1,1996,Poor,Yes,286937.35
Suburban,3471,16584,5,3,2000,Good,Yes,657856.57
Suburban,3675,22092,4,1,1984,Excellent,Yes,286941.11
Urban,2898,39893,5,2,1994,Poor,Yes,724714.61
Rural,3525,10303,4,1,1967,Good,Yes,909523.67
Suburban,2433,7800,4,4,2021,Good,No,335020.67
Coastal,2598,19614,5,2,1909,Excellent,No,877192.56
Suburban,4600,47081,5,1,1925,Excellent,Yes,108872.0
Rural,4896,49628,1,2,1994,Poor,No,690184.06
Coastal,3197,38126,5,4,1908,Excellent,No,496097.62
Rural,1106,48532,6,2,1915,Poor,No,315539.21
Rural,4683,34838,4,3,1905,Excellent,No,331512.34
Coastal,4200,49919,5,4,1977,Poor,No,136787.72
Coastal,3272,22339,5,2,1976,Good,Yes,374554.17
Coastal,2711,5216,3,1,1908,Excellent,No,221323.74
Rural,1023,3228,2,3,1980,Good,No,718010.53
Suburban,885,3783,6,2,1900,Good,No,290691.64
Urban,1337,40749,5,4,2018,Poor,Yes,637259.59
Suburban,3067,29847,4,3,1902,Good,Yes,427424.79
Urban,4077,23766,1,3,1904,Good,No,792823.87
Urban,2573,19382,5,3,1937,Poor,Yes,436655.54
Rural,3376,18948,2,3,2010,Excellent,No,276259.71
Urban,3135,48959,3,1,1989,Good,No,401138.23
Suburban,1325,18284,3,2,1947,Poor,Yes,992519.53
Urban,3916,32613,4,4,1910,Good,No,206964.8
Downtown,2346,33126,2,3,1931,Good,Yes,385106.66
Coastal,3932,38308,5,4,1928,Poor,Yes,566938.13
Suburban,3965,30706,1,1,2022,Excellent,Yes,602213.97
Downtown,3835,12577,3,2,1976,Poor,No,741660.75
Urban,4758,49102,1,1,1954,Poor,No,971402.99
Rural,4112,36255,3,4,1954,Poor,Yes,679377.27
Downtown,2215,4596,2,3,1968,Good,No,114075.18
Rural,1908,2990,3,4,1981,Poor,No,622117.94
Rural,2136,34311,4,2,1963,Good,No,942066.05
Coastal,2372,43095,5,1,2019,Excellent,No,173233.72
Urban,3277,7060,5,3,2015,Poor,Yes,408884.24
Rural,4971,30103,5,2,1991,Poor,Yes,841145.0
Suburban,4096,6858,6,3,1904,Good,No,850216.72
Suburban,3052,34142,3,1,1994,Good,Yes,305512.95
Coastal,3188,33894,3,1,1915,Excellent,Yes,275219.83
Rural,1016,42929,6,4,1948,Poor,Yes,507628.42
Urban,3666,20857,1,1,2001,Excellent,Yes,191945.89
Rural,2299,27041,4,1,1970,Poor,Yes,319937.42
Downtown,2951,36812,6,4,1978,Good,No,716624.71
Urban,4403,8743,6,4,1976,Poor,Yes,422522.93
Downtown,2355,16679,1,1,1993,Good,Yes,235396.25
Downtown,2859,34027,3,1,1903,Excellent,No,511560.1
Urban,3038,21352,3,1,1920,Poor,Yes,563848.59
Suburban,4840,10688,2,1,1908,Poor,No,938382.95
Urban,4415,37433,4,1,1961,Good,No,460815.14
Coastal,3737,2821,5,4,1959,Good,No,498767.63
Downtown,2105,22112,5,4,1903,Excellent,No,614310.13
Coastal,1619,7265,3,2,1921,Poor,Yes,926193.38
Suburban,3255,48673,5,4,1989,Excellent,No,753925.73
Coastal,3165,35500,4,2,1928,Excellent,No,827069.96
Coastal,4993,12942,2,3,1973,Poor,No,267828.31
Downtown,2142,33929,6,2,1942,Poor,Yes,741232.86
Coastal,1007,35140,2,4,1915,Poor,No,189257.96
Suburban,829,6393,1,1,1919,Excellent,Yes,150502.32
Suburban,2779,30645,2,4,1930,Excellent,No,757156.71
Urban,4386,3874,1,3,1975,Excellent,Yes,387865.05
Downtown,3466,33510,3,1,1936,Excellent,Yes,570713.66
Rural,3000,4195,5,1,2001,Poor,No,613646.02
Suburban,4381,16654,1,4,1981,Poor,Yes,514090.95
Suburban,3842,13527,6,3,2023,Excellent,No,674973.78
Suburban,3916,16900,1,1,1925,Excellent,Yes,319096.42
Suburban,3452,24470,6,3,1901,Excellent,No,275350.38
Suburban,3591,42974,5,4,2018,Excellent,Yes,560356.51
Rural,3878,42356,2,2,1946,Good,Yes,802357.9
Downtown,1745,12981,1,3,1980,Excellent,No,101514.84
Rural,2341,43880,3,3,1965,Good,No,500652.88
Urban,1334,2914,6,1,1972,Excellent,Yes,883701.92
Urban,3541,24241,5,1,1967,Excellent,No,375850.4
Downtown,820,39110,2,3,1912,Excellent,No,371092.09
Rural,1601,24379,2,2,1979,Good,Yes,422752.36
Downtown,1080,5823,2,4,1992,Excellent,Yes,556818.55
Coastal,1462,37297,2,1,2022,Good,Yes,977577.31
Downtown,883,20612,4,1,1964,Excellent,Yes,112641.29
Suburban,2342,16443,4,2,1977,Excellent,No,262042.23
Rural,3380,2779,5,4,1944,Good,No,780113.16
Downtown,1217,7816,3,4,1971,Good,Yes,802951.51
Urban,1946,34564,4,4,2013,Good,No,352364.69
Urban,3776,16771,5,4,1928,Good,No,835016.24
Suburban,1059,16461,4,1,2010,Good,No,756361.74
Rural,2835,20809,5,4,2008,Good,No,890011.76
Coastal,4309,38112,5,4,1912,Good,Yes,122736.96
Suburban,4481,20824,3,4,1966,Poor,No,200570.92
Coastal,3304,41303,5,2,1979,Good,Yes,893117.83
Downtown,4114,17215,2,4,1908,Good,Yes,208117.95
Rural,3159,49020,1,1,2015,Good,No,284205.57
Urban,1106,6161,1,1,1903,Good,No,635994.16
Urban,4970,4508,6,2,1947,Good,Yes,396564.72
Downtown,902,40138,1,4,1951,Excellent,No,584657.47
Urban,3653,44072,4,4,2015,Poor,Yes,103924.01
Coastal,3404,40968,1,3,1959,Good,No,920454.06
Downtown,4767,34748,2,2,1966,Excellent,No,176494.04
Suburban,4106,2669,3,2,1949,Good,No,413418.33
Rural,1604,47115,1,2,1942,Poor,No,359668.06
Coastal,2080,36932,6,2,1937,Excellent,No,773634.0
Rural,2838,37541,2,1,1943,Excellent,No,665932.35
Downtown,2620,38522,3,1,1932,Good,No,127827.85
Coastal,2846,43737,2,2,2014,Good,Yes,842314.69
Urban,3987,47213,1,4,1907,Poor,No,745953.44
Coastal,958,6320,5,3,1936,Good,Yes,781210.5
Rural,2342,41401,4,1,1970,Poor,No,871570.63
Suburban,3270,48780,1,1,1924,Poor,No,594987.11
Suburban,2658,32404,6,3,1987,Good,No,454006.4
Rural,4084,19753,4,2,2000,Good,No,373789.24
Rural,4865,5614,1,3,1915,Good,Yes,998224.11
Coastal,1586,30394,4,4,1914,Good,Yes,234762.96
Downtown,1898,40521,3,3,2013,Good,Yes,781800.32
Coastal,2761,5565,5,4,1916,Excellent,No,613453.25
Urban,2821,29352,5,4,1909,Poor,No,560787.98
Urban,1149,17734,1,3,2012,Poor,No,872408.46
Coastal,2097,39277,1,4,1951,Poor,Yes,863222.45
Coastal,4221,32046,1,2,1933,Poor,No,757148.95
Rural,1128,44529,6,3,1954,Good,Yes,202535.19
Coastal,2125,8957,5,3,1992,Good,Yes,312133.5
Urban,4963,27969,5,3,1920,Excellent,Yes,967549.47
Suburban,3035,28324,1,4,1907,Excellent,No,536025.22
Rural,4298,11396,5,4,1962,Excellent,No,299314.12
Downtown,4510,24874,1,4,1959,Poor,No,141008.43
Rural,4278,32046,6,4,1910,Poor,No,763145.3
Downtown,3518,9122,4,3,1997,Excellent,No,284057.91
Rural,2420,26102,3,1,2013,Poor,No,603733.56
Rural,1341,43846,5,3,1971,Good,No,674482.95
Suburban,4410,7195,3,2,1941,Poor,Yes,163159.75
Rural,4400,37516,3,4,1911,Poor,No,532032.55
Downtown,2834,26104,4,2,1930,Poor,Yes,797780.69
Suburban,3809,34657,3,3,2011,Excellent,Yes,914173.87
Coastal,3829,23250,1,2,2019,Poor,No,128254.65
Coastal,4830,4211,4,4,1948,Excellent,No,281739.57
Downtown,1868,30030,2,3,1916,Poor,No,255629.44
Downtown,4798,37666,4,3,2023,Good,Yes,660796.22
Urban,2661,34685,5,1,1913,Poor,No,126831.38
Downtown,2800,3065,4,1,1921,Poor,No,234079.64
Downtown,3345,34716,1,2,2001,Excellent,Yes,282039.21
Coastal,2468,40943,3,3,1980,Excellent,No,666723.09
Downtown,4642,30000,6,4,1932,Good,No,380757.47
Downtown,3942,23896,1,2,1989,Excellent,No,230427.75
Downtown,1755,46783,3,1,1933,Excellent,Yes,823095.83
Rural,2750,48163,5,2,1977,Excellent,No,897777.44
Urban,1239,27030,3,3,1989,Poor,No,760442.58
Coastal,2991,2487,3,1,1939,Poor,Yes,348587.6
Coastal,3075,21899,3,1,2007,Excellent,No,528492.4
Coastal,3023,30196,3,3,1930,Good,Yes,949314.93
Downtown,959,19283,2,4,1984,Excellent,No,956595.85
Suburban,2847,49507,1,1,1955,Poor,No,715802.31
Rural,4984,31843,6,2,1997,Excellent,Yes,299637.22
Coastal,1599,34282,4,4,1928,Good,No,524818.98
Suburban,2092,18928,1,4,1941,Excellent,No,558157.01
Urban,2635,4393,1,4,1963,Poor,Yes,101811.6
Rural,2651,34652,1,1,1937,Good,No,146923.35
Rural,2181,25034,6,1,1909,Good,Yes,602595.29
Rural,4044,17903,2,1,1925,Good,Yes,773537.86
Coastal,1194,36736,2,1,1966,Poor,No,649254.21
Downtown,4416,4425,3,1,1931,Excellent,Yes,811040.61
Rural,3490,5136,5,2,1972,Excellent,No,140028.49
Rural,4354,2824,1,2,2013,Good,Yes,231786.28
Rural,4496,18667,5,1,1911,Good,No,448850.61
Urban,1154,9222,6,4,1965,Excellent,Yes,988219.02
Coastal,3745,32356,6,4,1973,Good,No,912878.77
Rural,1059,21975,1,2,1992,Poor,No,527057.27
Suburban,2600,35011,5,3,1903,Good,No,760096.39
Urban,3322,40897,3,4,1938,Excellent,No,673539.19
Suburban,2314,28288,5,2,1964,Poor,No,407435.48
Coastal,2993,21797,6,1,1956,Excellent,Yes,385591.25
Coastal,2917,24944,4,4,1954,Excellent,No,429104.93
Coastal,4029,18787,4,1,1914,Good,Yes,109613.94
Downtown,1237,49721,3,4,1919,Excellent,Yes,125513.42
Rural,1425,42537,6,1,2012,Poor,Yes,943660.48
Rural,2344,9022,6,3,2018,Excellent,No,869490.71
Rural,4576,39092,4,3,2002,Excellent,No,640462.93
Urban,1121,31090,2,2,1991,Good,Yes,565364.72
Urban,3105,8586,5,3,1994,Good,Yes,875906.41
Coastal,4083,40060,4,1,1931,Good,Yes,593858.41
Suburban,830,28628,3,3,1913,Poor,No,752183.9
Suburban,3862,36240,5,4,2023,Excellent,Yes,911463.62
Coastal,4958,43095,3,1,1997,Excellent,Yes,996840.47
Rural,1341,47299,6,4,1903,Poor,No,548649.02
Rural,4695,32464,4,2,1914,Poor,No,459980.26
Urban,4435,18100,3,1,2014,Poor,Yes,403441.78
Suburban,2970,24442,5,3,1956,Poor,Yes,658384.82
Urban,4126,41030,1,1,2001,Good,Yes,266507.92
Urban,2942,41220,6,2,1977,Good,No,485108.23
Urban,1969,31038,6,2,1987,Poor,No,163018.31
Rural,2312,11169,1,4,1981,Poor,No,944246.57
Downtown,4638,6507,5,1,1987,Poor,No,108285.39
Coastal,2881,10675,4,1,1901,Poor,No,124591.02
Coastal,3203,31531,4,1,1987,Good,Yes,175493.65
Urban,1926,32377,2,3,1999,Poor,No,815359.9
Suburban,4989,11393,4,4,1913,Excellent,Yes,563053.02
Rural,887,11146,4,1,1992,Good,No,435519.48
Urban,4085,20039,6,3,1950,Good,Yes,991754.64
Downtown,1132,44281,2,2,1917,Good,No,658700.26
Rural,2533,28066,6,4,1907,Good,No,305544.24
Coastal,2015,19719,3,3,2019,Good,Yes,379414.99
Rural,3005,12987,1,4,1937,Good,Yes,781464.67
Downtown,1316,20225,1,3,1970,Good,Yes,561976.29
Coastal,1473,18211,6,3,1970,Excellent,No,506975.71
Coastal,3931,25279,2,3,1998,Excellent,No,257102.86
Rural,4835,22198,5,4,1984,Poor,Yes,759336.13
Rural,3205,36793,6,3,1978,Excellent,No,491061.54
Coastal,2741,44236,5,1,1979,Excellent,No,440567.51
Suburban,4931,23157,4,3,1918,Excellent,Yes,337690.98
Urban,4903,27267,2,1,1969,Good,Yes,320683.1
Rural,3190,38543,5,4,1979,Poor,Yes,391512.36
Downtown,4967,47728,6,3,1944,Good,Yes,821934.49
Urban,4532,44409,2,1,1916,Excellent,No,264129.23
Coastal,4312,17674,3,3,1981,Good,No,992138.21
Urban,1073,23380,6,4,2020,Poor,No,688072.14
Urban,2356,3960,2,1,1902,Good,No,102490.35
Rural,956,49170,2,4,1982,Good,Yes,372188.57
Suburban,2834,9022,4,3,2015,Poor,No,769637.65
Suburban,3481,30175,6,3,1924,Poor,Yes,982206.77
Coastal,2238,32158,2,2,2006,Good,Yes,847975.47
Downtown,4059,8153,3,2,1990,Poor,No,818494.48
Rural,4322,6751,3,1,1929,Good,No,176323.25
Suburban,3699,6202,5,1,2021,Excellent,Yes,933799.91
Urban,3247,41484,6,3,2008,Poor,No,389864.25
Urban,2008,9510,4,4,1991,Excellent,Yes,948863.78
Urban,3102,23690,3,3,1998,Poor,Yes,741294.53
Downtown,1076,10410,6,2,1959,Poor,No,511097.08
Downtown,1682,44556,5,2,1947,Good,No,366470.49
Suburban,4785,19756,6,1,1914,Poor,No,201154.9
Coastal,904,2225,4,4,1994,Poor,No,337425.98
Rural,4193,13966,1,3,1930,Good,Yes,729517.41
Urban,4323,48229,2,1,1931,Poor,Yes,658942.99
Suburban,3518,27686,4,3,1984,Good,No,834059.34
Rural,1066,30057,1,4,1900,Poor,No,819621.97
Suburban,1847,30041,6,4,1957,Excellent,No,695561.67
Downtown,2274,27615,4,1,1973,Poor,No,794198.0
Rural,4419,5442,5,3,1926,Excellent,Yes,575282.61
Downtown,4711,13683,2,2,1968,Good,Yes,539637.01
Coastal,3166,3215,1,3,1921,Poor,Yes,663829.47
Suburban,4554,35472,2,3,1925,Excellent,Yes,863229.37
Downtown,3827,19336,6,4,1961,Poor,Yes,644878.49
Suburban,3613,17627,2,1,1907,Good,No,869066.84
Rural,4330,42034,6,1,1973,Poor,Yes,682950.9
Urban,2587,47443,3,1,1965,Good,Yes,477504.18
Downtown,3782,19243,4,1,1970,Poor,Yes,302872.38
Coastal,3926,33267,4,1,1960,Excellent,Yes,112025.64
Rural,3849,28703,6,3,1909,Excellent,No,948048.06
